Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005520,0.343323,-0.228882,0.057195,-0.131726,8.776549,3.855966
0.021201,0.434875,-0.282288,-0.041987,-0.081431,8.753198,3.854169
0.037098,0.221252,-0.221252,-0.011470,-0.094603,8.817265,3.858361
0.052737,0.244141,-0.228882,0.003789,-0.083826,8.759185,3.842793
0.068523,0.335693,-0.282288,-0.087764,-0.091610,8.760383,3.860756
0.085231,0.328064,-0.335693,-0.064875,-0.079036,8.775950,3.858361
0.103053,0.389099,-0.358582,-0.041987,-0.086819,8.808882,3.842194
0.122249,0.373840,-0.183105,0.011418,-0.088616,8.817265,3.848182
0.138497,0.320435,-0.144958,-0.003840,-0.083826,8.764574,3.844589
0.156256,0.221252,-0.190735,0.041936,-0.108375,8.768765,3.850577
0.172206,0.511169,-0.267029,0.049565,-0.097597,8.782537,3.847583
0.188136,0.419617,-0.183105,-0.064875,-0.091610,8.777148,3.857163
0.204073,0.320435,-0.328064,-0.095393,-0.105980,8.783135,3.849379
0.219863,0.244141,-0.251770,-0.026729,-0.105381,8.775950,3.869737
0.237113,0.198364,-0.366211,0.041936,-0.088616,8.774154,3.882910
0.259256,0.389099,-0.213623,0.049565,-0.097597,8.769962,3.879916
0.278107,0.404358,-0.205994,-0.072505,-0.003593,8.775352,3.846385
0.299760,0.366211,-0.350952,-0.011470,-0.094603,8.801697,3.824232
0.316786,0.373840,-0.205994,0.110601,-0.090412,8.797505,3.864947
0.334375,0.450134,-0.328064,0.110601,-0.105980,8.753797,3.844589
0.354475,0.312805,-0.289917,0.118230,-0.080832,8.752000,3.857762
0.375155,0.473022,-0.274658,-0.095393,-0.089813,8.766370,3.851176
0.391782,0.335693,-0.320435,-0.011470,-0.112566,8.775352,3.870934
0.408932,0.389099,-0.152588,0.164006,-0.090412,8.781938,3.840997
0.427168,0.198364,-0.251770,0.110601,-0.107177,8.825048,3.840997
0.443857,0.259399,-0.167847,0.072454,-0.051493,8.797505,3.851774
0.462802,0.389099,-0.297546,-0.019099,-0.073647,8.780142,3.843991
0.479305,0.366211,-0.404358,0.072454,-0.072449,8.765772,3.851176
0.495674,0.389099,-0.160217,0.019048,-0.086819,8.790320,3.859558
0.511468,0.358582,-0.297546,0.034307,-0.077239,8.792117,3.863750
0.531678,0.450134,-0.267029,0.057195,-0.118553,8.791518,3.854169
0.552808,0.373840,-0.305176,0.041936,-0.042512,8.771759,3.866144
0.573839,0.320435,-0.419617,-0.011470,-0.085023,8.783734,3.854169
0.592529,0.274658,-0.312805,0.026677,-0.094005,8.770561,3.833812
0.610610,0.373840,-0.434875,0.049565,-0.119751,8.775352,3.834410
0.628153,0.427246,-0.144958,0.080083,-0.035327,8.794512,3.855966
0.646156,0.305176,-0.305176,-0.125911,-0.083227,8.787926,3.867941
0.664179,0.419617,-0.221252,0.041936,-0.072449,8.793913,3.869737
0.680460,0.297546,-0.175476,0.003789,-0.110770,8.747211,3.863750
0.697075,0.350952,-0.289917,0.087712,-0.091011,8.796308,3.840398
0.714638,0.350952,-0.190735,0.087712,-0.056882,8.813672,3.839200
0.730258,0.411987,-0.213623,-0.003840,-0.067061,8.752599,3.864348
0.750791,0.350952,-0.358582,-0.026729,-0.113165,8.793314,3.851176
0.766555,0.411987,-0.289917,-0.019099,-0.045505,8.781339,3.846984
0.782302,0.350952,-0.411987,0.095342,-0.080233,8.777746,3.857163
0.797933,0.450134,-0.129700,0.148748,-0.099992,8.771160,3.830818
0.814568,0.198364,-0.381470,0.034307,-0.096998,8.781339,3.837404
0.831251,0.312805,-0.411987,0.026677,-0.084424,8.785530,3.829022
0.847007,0.419617,-0.236511,-0.003840,-0.072449,8.784333,3.872731
0.862714,0.381470,-0.267029,-0.026729,-0.094005,8.769364,3.881113
0.878333,0.328064,-0.213623,0.026677,-0.127535,8.782537,3.842194
0.894379,0.259399,-0.282288,0.057195,-0.080233,8.809481,3.847583
0.910218,0.297546,-0.297546,-0.049617,-0.105381,8.771160,3.858361
0.926072,0.404358,-0.190735,0.057195,-0.088616,8.780142,3.861953
0.942246,0.328064,-0.236511,0.034307,-0.092208,8.796906,3.881712
0.957883,0.389099,-0.373840,0.057195,-0.122745,8.781938,3.855966
0.973635,0.228882,-0.167847,0.080083,-0.056882,8.761580,3.846984
0.989369,0.228882,-0.160217,-0.087764,-0.075443,8.790320,3.842793
1.005118,0.312805,-0.274658,-0.103022,-0.082029,8.805888,3.842793
1.020966,0.343323,-0.251770,0.087712,-0.062271,8.817265,3.870336
1.036614,0.404358,-0.228882,0.102971,-0.069456,8.806487,3.841595
1.052377,0.381470,-0.152588,0.118230,-0.067659,8.766969,3.836805
1.068432,0.259399,-0.236511,0.164006,-0.035925,8.748407,3.843392
1.088452,0.259399,-0.282288,-0.095393,-0.108973,8.795111,3.833812
1.104449,0.343323,-0.381470,-0.095393,-0.078437,8.802895,3.841595
1.120203,0.358582,-0.427246,0.026677,-0.086221,8.751401,3.840997
1.135894,0.495911,-0.335693,-0.041987,-0.075443,8.759784,3.852373
1.151777,0.511169,-0.213623,0.087712,-0.096998,8.788525,3.863151
1.167606,0.282288,-0.297546,0.064824,-0.096998,8.743618,3.872731
1.183499,0.297546,-0.350952,-0.026729,-0.053289,8.743019,3.845188
1.199323,0.442505,-0.297546,0.110601,-0.105980,8.792715,3.846385
1.214957,0.175476,-0.289917,0.026677,-0.098795,8.796906,3.846385
1.230598,0.427246,-0.350952,-0.087764,-0.091011,8.767568,3.848781
1.248811,0.343323,-0.152588,-0.003840,-0.093406,8.753797,3.835608
1.264818,0.434875,-0.289917,0.003789,-0.086221,8.792715,3.832614
1.280550,0.221252,-0.183105,-0.026729,-0.056283,8.801697,3.847583
1.296257,0.389099,-0.297546,-0.072505,-0.097597,8.810080,3.846984
1.311873,0.366211,-0.175476,0.057195,-0.077838,8.761580,3.852373
1.327526,0.419617,-0.282288,-0.019099,-0.093406,8.792715,3.836805
1.343456,0.335693,-0.366211,-0.003840,-0.098196,8.812474,3.830818
1.359151,0.396729,-0.190735,0.041936,-0.096400,8.795710,3.867342
1.374766,0.427246,-0.198364,0.057195,-0.095202,8.727451,3.858361
1.390367,0.305176,-0.236511,0.041936,-0.104183,8.790320,3.869138
1.406191,0.312805,-0.320435,0.034307,-0.143701,8.803493,3.855966
1.421883,0.396729,-0.312805,-0.003840,-0.117356,8.756191,3.836805
1.437598,0.358582,-0.343323,0.003789,-0.125739,8.780142,3.845787
1.453292,0.236511,-0.205994,-0.019099,-0.105381,8.836425,3.842793
1.468957,0.350952,-0.244141,-0.103022,-0.095801,8.788525,3.839200
1.484827,0.244141,-0.373840,0.026677,-0.078437,8.765173,3.849379
1.501201,0.457764,-0.297546,-0.003840,-0.113763,8.784931,3.825429
1.516883,0.312805,-0.320435,-0.049617,-0.088017,8.808283,3.826627
1.532801,0.289917,-0.106812,-0.041987,-0.102986,8.765772,3.831417
1.548449,0.312805,-0.328064,-0.103022,-0.062271,8.750204,3.850577
1.564157,0.434875,-0.350952,0.095342,-0.081431,8.785530,3.837404
1.579791,0.350952,-0.190735,-0.003840,-0.071252,8.804690,3.846385
1.595750,0.289917,-0.061035,-0.087764,-0.092208,8.771160,3.839799
1.612452,0.366211,-0.297546,0.034307,-0.068857,8.768765,3.849978
1.631526,0.381470,-0.205994,0.011418,-0.058678,8.768167,3.868539
1.649883,0.419617,-0.282288,-0.041987,-0.091011,8.797505,3.845787
1.667641,0.312805,-0.381470,0.041936,-0.068258,8.810678,3.862552
1.685828,0.305176,-0.236511,-0.141169,-0.094603,8.793913,3.864348
1.702192,0.373840,-0.183105,0.003789,-0.071851,8.759185,3.841595
1.724761,0.305176,-0.190735,0.202153,-0.092807,8.770561,3.833213
1.740592,0.343323,-0.175476,0.133489,-0.089813,8.781339,3.847583
1.760584,0.366211,-0.305176,0.011418,-0.073048,8.767568,3.873928
1.778944,0.427246,-0.305176,-0.019099,-0.054487,8.775950,3.858361
1.794765,0.518799,-0.259399,0.095342,-0.090412,8.805289,3.888298
1.810675,0.373840,-0.106812,-0.011470,-0.089813,8.757988,3.843392
1.826596,0.259399,-0.305176,0.049565,-0.038320,8.772957,3.864947
1.842230,0.411987,-0.175476,-0.041987,-0.067659,8.808882,3.845188
1.857996,0.389099,-0.198364,0.064824,-0.057480,8.777746,3.839799
1.874292,0.343323,-0.213623,0.011418,-0.049697,8.770561,3.849379
1.889966,0.442505,-0.213623,-0.064875,-0.095801,8.768765,3.864348
1.905986,0.404358,-0.236511,-0.057246,-0.046703,8.801697,3.835009
1.921605,0.404358,-0.274658,0.049565,-0.077838,8.781339,3.827824
1.937276,0.389099,-0.091553,-0.003840,-0.088017,8.757389,3.875725
1.952866,0.411987,-0.144958,0.034307,-0.064666,8.772957,3.818244
1.969139,0.335693,-0.297546,-0.049617,-0.094005,8.779543,3.867342
1.984745,0.381470,-0.335693,0.019048,-0.099393,8.790320,3.854768
2.000346,0.495911,-0.343323,-0.003840,-0.042512,8.765772,3.854768
2.015960,0.373840,-0.358582,0.019048,-0.062271,8.790320,3.849978
2.031886,0.328064,-0.244141,-0.011470,-0.093406,8.780741,3.869138
2.047536,0.289917,-0.183105,-0.110652,-0.089214,8.774154,3.848182
2.063379,0.480652,-0.144958,-0.003840,-0.095801,8.768765,3.838602
2.079315,0.236511,-0.190735,-0.003840,-0.106578,8.790919,3.863750
2.095050,0.305176,-0.267029,-0.041987,-0.150287,8.802296,3.848781
2.110677,0.305176,-0.312805,0.034307,-0.131127,8.752000,3.861953
2.127335,0.328064,-0.183105,-0.034358,-0.086221,8.776549,3.836207
2.143142,0.289917,-0.274658,0.003789,-0.086819,8.775950,3.842793
2.158882,0.289917,-0.282288,-0.034358,-0.116757,8.789123,3.849978
2.174539,0.381470,-0.251770,0.026677,-0.142504,8.790320,3.855966
2.190162,0.350952,-0.251770,-0.034358,-0.086221,8.769962,3.855367
2.206583,0.160217,-0.282288,0.049565,-0.126936,8.794512,3.866144
2.222233,0.190735,-0.404358,0.011418,-0.071851,8.797505,3.853570
2.238286,0.320435,-0.373840,0.019048,-0.111967,8.763376,3.851176
2.253892,0.259399,-0.419617,-0.087764,-0.031135,8.766969,3.872132
2.269882,0.450134,-0.236511,-0.057246,-0.110770,8.795710,3.861953
2.285536,0.320435,-0.198364,0.080083,-0.091011,8.795710,3.881113
2.301420,0.267029,-0.312805,0.041936,-0.095801,8.754395,3.852972
2.317061,0.320435,-0.213623,-0.034358,-0.070054,8.759784,3.855966
2.332894,0.267029,-0.289917,0.026677,-0.099393,8.800499,3.867342
2.348533,0.434875,-0.350952,0.064824,-0.068258,8.786728,3.865546
2.364448,0.381470,-0.244141,0.072454,-0.084424,8.759784,3.879317
2.380129,0.473022,-0.289917,0.003789,-0.055684,8.765173,3.864348
2.396097,0.251770,-0.160217,0.125859,-0.075443,8.807684,3.879916
2.411800,0.427246,-0.259399,0.057195,-0.069456,8.787327,3.863151
2.427435,0.312805,-0.137329,0.164006,-0.111967,8.767568,3.835608
2.443372,0.228882,-0.358582,0.003789,-0.070054,8.805888,3.842194
2.459172,0.404358,-0.305176,0.049565,-0.102986,8.790919,3.839799
2.474948,0.289917,-0.244141,0.003789,-0.085023,8.765772,3.869138
2.490587,0.404358,-0.282288,0.041936,-0.089813,8.761580,3.821836
2.506495,0.366211,-0.221252,0.141118,-0.105980,8.783734,3.851176
2.522112,0.320435,-0.152588,0.102971,-0.062271,8.801098,3.838003
2.537690,0.373840,-0.358582,0.049565,-0.110171,8.766969,3.869138
2.553584,0.404358,-0.228882,0.041936,-0.110171,8.769364,3.848781
2.569174,0.297546,-0.251770,0.095342,-0.089813,8.791518,3.879916
2.584771,0.244141,-0.350952,-0.003840,-0.107776,8.793913,3.871533
2.600731,0.366211,-0.274658,0.034307,-0.079634,8.800499,3.857163
