Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005506,0.335693,-0.274658,-0.026729,-0.034728,8.589738,4.314612
0.021196,0.396729,-0.213623,0.011418,-0.047900,8.532257,4.298445
0.036981,0.411987,-0.328064,0.087712,-0.019759,8.583151,4.288267
0.052640,0.366211,-0.305176,0.011418,-0.045505,8.573571,4.317007
0.068289,0.358582,-0.221252,-0.019099,-0.035327,8.556208,4.284674
0.084014,0.259399,-0.289917,-0.019099,-0.081431,8.577164,4.301439
0.099602,0.335693,-0.114441,0.034307,-0.047302,8.586743,4.285872
0.115187,0.244141,-0.373840,-0.064875,-0.049697,8.582553,4.273897
0.130818,0.228882,-0.328064,-0.019099,-0.072449,8.561596,4.286470
0.146408,0.190735,-0.289917,-0.049617,-0.056882,8.587342,4.288267
0.162257,0.427246,-0.152588,-0.057246,-0.050295,8.577763,4.292458
0.178093,0.465393,-0.251770,-0.011470,-0.058678,8.579558,4.291260
0.193901,0.465393,-0.305176,0.049565,-0.049098,8.579558,4.289464
0.209841,0.305176,-0.221252,0.064824,-0.068258,8.606503,4.275094
0.225714,0.328064,-0.083923,0.095342,-0.028740,8.557405,4.285872
0.241655,0.373840,-0.343323,-0.003840,-0.035327,8.731643,4.270903
0.257579,0.312805,-0.282288,0.041936,-0.040715,8.570578,4.279884
0.273515,0.312805,-0.335693,0.072454,-0.055684,8.563992,4.287069
0.289471,0.305176,-0.282288,0.011418,-0.065264,8.584349,4.298445
0.305167,0.511169,-0.305176,0.072454,-0.033530,8.569380,4.281680
0.320818,0.358582,-0.259399,-0.011470,-0.066462,8.589139,4.278687
0.336570,0.228882,-0.221252,0.057195,-0.038320,8.566386,4.314612
0.352376,0.274658,-0.160217,0.057195,-0.037123,8.589738,4.271502
0.368001,0.366211,-0.259399,0.118230,-0.047900,8.579558,4.296051
0.383613,0.160217,-0.274658,-0.026729,-0.042512,8.566386,4.271502
0.399207,0.381470,-0.152588,-0.034358,-0.061073,8.569979,4.267909
0.414798,0.419617,-0.175476,-0.118281,-0.050894,8.574769,4.275094
0.430516,0.251770,-0.404358,-0.118281,-0.058678,8.587941,4.270903
0.446358,0.404358,-0.274658,0.019048,-0.082628,8.565787,4.258928
0.462224,0.251770,-0.190735,0.072454,-0.035925,8.584349,4.269705
0.478061,0.312805,-0.236511,0.087712,-0.063468,8.588540,4.277489
0.493817,0.167847,-0.259399,-0.026729,-0.048499,8.729846,4.293056
0.509654,0.358582,-0.274658,-0.034358,-0.046104,8.721463,4.254736
0.525499,0.343323,-0.129700,0.026677,-0.045505,8.543633,4.276890
0.541387,0.373840,-0.267029,0.011418,-0.046104,8.564590,4.307427
0.557289,0.350952,-0.282288,-0.026729,-0.050295,8.578362,4.290662
0.573246,0.358582,-0.228882,0.087712,-0.053289,8.572972,4.276890
0.589349,0.167847,-0.228882,0.003789,-0.068857,8.575966,4.296649
0.605065,0.358582,-0.244141,0.034307,-0.077239,8.575966,4.287069
0.620798,0.297546,-0.297546,0.003789,-0.069456,8.571177,4.269106
0.636522,0.305176,-0.305176,0.095342,-0.076641,8.587342,4.294254
0.652208,0.335693,-0.198364,0.026677,-0.050295,8.560997,4.275693
0.667774,0.396729,-0.198364,-0.003840,-0.030536,8.587342,4.283476
0.683416,0.297546,-0.236511,-0.034358,-0.028740,8.735834,4.276890
0.699004,0.480652,-0.022888,-0.026729,-0.052092,8.555609,4.309822
0.714685,0.244141,-0.244141,0.102971,-0.072449,8.716674,4.322396
0.730312,0.373840,-0.205994,0.133489,-0.079036,8.709489,4.302038
0.746156,0.381470,-0.183105,0.049565,-0.025746,8.468789,4.272100
0.761975,0.167847,-0.328064,-0.011470,-0.033530,8.600515,4.294853
0.777790,0.396729,-0.251770,-0.019099,-0.061672,8.574769,4.290662
0.793625,0.411987,-0.305176,0.003789,-0.067061,8.600515,4.294254
0.809481,0.373840,-0.404358,0.072454,-0.038919,8.606503,4.269106
0.825404,0.350952,-0.274658,0.041936,-0.033530,8.590336,4.276890
0.841208,0.450134,-0.312805,0.026677,-0.038320,8.568781,4.290063
0.857064,0.267029,-0.305176,-0.034358,-0.073647,8.576565,4.278687
0.872948,0.434875,-0.305176,-0.133540,-0.049697,8.443642,4.306828
0.888635,0.335693,-0.244141,0.072454,-0.079634,8.595725,4.288866
0.904277,0.366211,-0.122070,0.041936,-0.070054,8.734636,4.276291
0.919940,0.465393,-0.213623,-0.064875,-0.063468,8.455616,4.279884
0.935544,0.312805,-0.205994,-0.011470,-0.056882,8.465796,4.303236
0.951123,0.427246,-0.183105,-0.019099,-0.053289,8.562195,4.299044
0.966730,0.289917,-0.244141,0.011418,-0.059875,8.434061,4.300241
0.982349,0.312805,-0.328064,0.049565,-0.063468,8.560398,4.285872
0.997970,0.404358,-0.267029,-0.034358,-0.042512,8.563992,4.297248
1.013672,0.099182,-0.289917,-0.003840,-0.048499,8.574170,4.285872
1.029472,0.251770,-0.175476,-0.049617,-0.040715,8.580756,4.297248
1.045321,0.335693,-0.282288,0.011418,-0.068857,8.593330,4.286470
1.061039,0.343323,-0.350952,0.041936,-0.079036,8.578960,4.332574
1.076695,0.305176,-0.251770,0.011418,-0.062271,8.551417,4.264317
