Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005536,0.335693,-0.221252,0.041936,-0.060474,8.026908,5.360038
1.667476,138.771057,9.155273,-6.656672,-0.443677,6.231841,-7.345541
3.331482,-42.282104,0.045776,-1.842524,-0.141306,-5.670209,-8.105361
4.995432,44.395447,-0.595093,2.948735,-0.070054,-3.667374,-9.525607
6.659455,15.708923,-0.114441,0.186895,-0.067061,-0.842448,-9.857916
8.822913,-71.739197,-4.104614,-3.284480,-0.958607,6.586304,6.734180
10.483291,233.428955,-4.234314,13.591741,-0.649050,-9.096883,-6.554585
12.147305,-10.231018,-0.228882,0.102971,0.009580,-6.622828,-7.413799
13.811214,4.135132,-0.518799,1.804326,0.052092,-5.121150,-8.422701
15.475154,25.543213,0.175476,-0.659968,0.076641,-1.959126,-9.740561
17.638769,-46.646118,-6.347656,-5.573298,-0.796344,7.156917,5.963583
19.299137,202.804565,1.113892,9.181951,-0.378413,-4.823569,-6.198925
20.963103,22.903442,-0.282288,0.537847,-0.003593,0.661025,-9.587878
22.627072,-10.681152,-0.289917,-0.347163,0.064666,-2.674638,-9.441183
24.291074,20.187378,1.899719,-0.652339,-0.012574,-1.832190,-9.782474
26.454501,-65.765381,-3.097534,-3.566768,-1.647175,7.003636,6.891653
28.114889,-91.789246,98.205566,-54.431942,2.281256,6.710845,4.143368
29.778858,3.334045,-0.473022,-0.400569,-0.160466,7.819140,5.901312
